營業地址,統一編號,總機構統一編號,營業人名稱,資本額,設立日期,組織別名稱,使用統一發票,行業代號,名稱,行業代號1,名稱1,行業代號2,名稱2,行業代號3,名稱3
"新北市新莊區建安里建國二路６４之１號１樓",80639516,,"全美自動化股份有限公司",29000000,0930416,股份有限公司,Y,293999,未分類其他通用機械設備製造,292999,其他未分類專用機械設備製造,464999,未分類其他機械器具批發,,
"新北市新莊區建安里建國二路６４之２號１樓",22711617,,"全美精密企業股份有限公司",29190000,0770309,股份有限公司,Y,251199,其他金屬手工具製造,,,,,,
"新北市新莊區建安里建國二路６４之２號３樓",28544356,,"翃發自動化股份有限公司",60000000,0951222,股份有限公司,Y,464999,未分類其他機械器具批發,464918,實驗設備批發,,,,
"新北市新莊區建安里建國二路６５號",53188475,,"紘宜建設有限公司",10000000,0991027,有限公司,N,670012,不動產投資開發,670011,土地開發,681111,不動產買賣,740100,室內設計
"新北市新莊區建安里建國二路６５號",83109553,,"圳達資產股份有限公司",200000000,1090824,股份有限公司,Y,252100,金屬結構製造,243200,銅鑄造,254999,未分類其他金屬加工處理,060099,未分類砂、石採取及其他礦業
"新北市新莊區建安里建國二路６６號",27875531,,"耀智工業有限公司",500000,0941011,有限公司,Y,291900,其他金屬加工用機械設備製造,461516,建材五金（基本金屬）批發,,,,
"新北市新莊區建安里建國二路６７號",34134648,,"冠有工業有限公司",1500000,0660701,有限公司,Y,469112,廢五金批發,451099,其他商品批發經紀,269999,其他未分類電子零組件製造,,
"新北市新莊區建安里建國二路６９號",66392724,,"益昌雷射科技股份有限公司",16500000,1051221,股份有限公司,Y,292999,其他未分類專用機械設備製造,254199,其他金屬鍛造,259999,其他未分類金屬製品製造,,
"新北市新莊區建安里建國二路７４號（１樓）",70630939,,"隆安工業股份有限公司",168880000,0881015,股份有限公司,Y,461516,建材五金（基本金屬）批發,,,,,,
"新北市新莊區建安里建國二路７５號",80747472,,"勝力霸精密有限公司",10000000,0930415,有限公司,Y,464320,金屬加工用機械批發,461516,建材五金（基本金屬）批發,,,,
"新北市新莊區建安里建國二路７７號",82864756,,"營翰企業有限公司",1000000,1080520,有限公司,Y,252100,金屬結構製造,259100,螺絲、螺帽及鉚釘製造,,,,
"新北市新莊區建安里建國二路７９號",72612649,70762591,"統一速達股份有限公司新莊營業所",0,1060214,其他,Y,494099,其他汽車貨運,530100,普通倉儲經營,523300,航空貨運承攬,485299,未分類其他全新商品零售
"新北市新莊區建安里建國二路８０號１樓",16954734,,"星銳縫紉機股份有限公司",20000000,0880825,股份有限公司,Y,464313,紡織及成衣機械批發,292412,成衣機械設備製造,,,,
"新北市新莊區建安里建國二路８２號",80311821,,"達榮開發股份有限公司",10000000,0920424,股份有限公司,Y,292411,紡織機械設備製造,,,,,,
"新北市新莊區建安里建國二路８３―１０號（２樓）",82316457,,"大欣郁商行",200000,1080416,獨資,Y,471114,加盟連鎖式便利商店（無商品進、銷貨行為）,782000,人力供應,474922,照相器材零售,456413,照相器材批發
"新北市新莊區建安里建國二路８３―２２號（３樓）",54037341,,"群利有限公司",1000000,1020130,有限公司,Y,269999,其他未分類電子零組件製造,464211,電子器材、電子設備批發,485299,未分類其他全新商品零售,,
"新北市新莊區建安里建國二路８３―３號",22513567,,"詠晨汽車材料業有限公司",5000000,0760617,有限公司,Y,484311,汽車零件、汽車百貨零售,303099,其他汽車零件製造,,,,
