營業地址,統一編號,總機構統一編號,營業人名稱,資本額,設立日期,組織別名稱,使用統一發票,行業代號,名稱,行業代號1,名稱1,行業代號2,名稱2,行業代號3,名稱3
"新北市新莊區瓊林北路５５號",33734519,,"徐阿心商店",3000,0660715,獨資,N,474999,未分類其他家用器具及用品零售,,,,,,
"新北市新莊區瓊林南路１００號",22701060,,"政宏有限公司",1000000,0770119,有限公司,Y,254999,未分類其他金屬加工處理,,,,,,
"新北市新莊區瓊林南路１０１巷１２號",31240357,,"鷗美有限公司",30000000,0640414,有限公司,Y,322000,金屬家具製造,322000,金屬家具製造,,,,
"新北市新莊區瓊林南路１０１巷１６號",84875293,,"叡楓機械工業股份有限公司",1000000,0830518,股份有限公司,Y,303099,其他汽車零件製造,,,,,,
"新北市新莊區瓊林南路１０１巷２號",35991077,,"伸岡企業有限公司",5000000,0690123,有限公司,Y,220999,未分類其他塑膠製品製造,,,,,,
"新北市新莊區瓊林南路１０１巷３號",35955895,,"永芳工業有限公司",8000000,0670824,有限公司,Y,251199,其他金屬手工具製造,,,,,,
"新北市新莊區瓊林南路１０１巷７號",36308735,,"全祥機械廠股份有限公司",11000000,0740301,股份有限公司,Y,291211,金屬用車床、銑床、鑽床製造,,,,,,
"新北市新莊區瓊林南路１０３巷６號",35831142,,"鐵信股份有限公司",30000000,0651120,股份有限公司,Y,251299,其他金屬模具製造,,,,,,
"新北市新莊區瓊林南路１０３巷８弄１２號１樓",22588433,,"宗盟鋼模有限公司",2000000,0760912,有限公司,Y,251211,塑膠成型模具製造,,,,,,
"新北市新莊區瓊林南路１０３巷８弄１３號",13037682,,"冠緯興業有限公司",1000000,0910417,有限公司,Y,210200,工業用橡膠製品製造,,,,,,
"新北市新莊區瓊林南路１０３巷８弄２４號",22918949,,"南嵊塑膠工業有限公司",3000000,0770624,有限公司,Y,220999,未分類其他塑膠製品製造,,,,,,
"新北市新莊區瓊林南路１０３巷８弄３１號",36112839,,"景聯塑膠廠有限公司",18000000,0710811,有限公司,Y,220999,未分類其他塑膠製品製造,,,,,,
"新北市新莊區瓊林南路１０３巷８弄４９號",22387772,,"勝宇工業股份有限公司",5000000,0760430,股份有限公司,Y,292411,紡織機械設備製造,,,,,,
"新北市新莊區瓊林南路１０３巷８弄６號",36037213,,"佑祥興業股份有限公司",10000000,0700106,股份有限公司,Y,210999,未分類其他橡膠製品製造,,,,,,
"新北市新莊區瓊林南路１０４號",36046389,,"恒孚實業有限公司",5000000,0700313,有限公司,Y,220999,未分類其他塑膠製品製造,,,,,,
"新北市新莊區瓊林南路１０８號",89918314,,"捷琳實業有限公司",15000000,0831125,有限公司,Y,259999,其他未分類金屬製品製造,,,,,,
"新北市新莊區瓊林南路１１８之１０號",76860471,,"正宇熔接廠",40000,0790201,獨資,N,254411,基本金屬表面處理,,,,,,
"新北市新莊區瓊林南路１１８之１２號",86557054,,"銘利精密工業股份有限公司",5000000,0810219,股份有限公司,Y,251299,其他金屬模具製造,,,,,,
"新北市新莊區瓊林南路１１８之１４號",22950601,,"黃正企業有限公司",5000000,0770627,有限公司,Y,241212,鑄鐵件鑄造,241213,鑄鋼件鑄造,,,,
"新北市新莊區瓊林南路１１８之２０號",86551707,,"頎晟機械五金有限公司",29500000,0810222,有限公司,Y,292999,其他未分類專用機械設備製造,241212,鑄鐵件鑄造,241213,鑄鋼件鑄造,,
"新北市新莊區瓊林南路１１８之２４號",36312549,,"鉞昌五金有限公司",15000000,0740426,有限公司,Y,259100,螺絲、螺帽及鉚釘製造,,,,,,
"新北市新莊區瓊林南路１１８之３５號",87596225,,"夾客傳奇商行",200000,1100218,獨資,N,932414,夾娃娃機店,,,,,,
"新北市新莊區瓊林南路１１８之７號",22106386,,"長風企業有限公司",5000000,0750421,有限公司,Y,251211,塑膠成型模具製造,,,,,,
"新北市新莊區瓊林南路１１８之９號",86434526,,"勁鋒企業有限公司",5000000,0810110,有限公司,Y,220999,未分類其他塑膠製品製造,457299,其他化粧品批發,,,,
"新北市新莊區瓊林南路１１８－２５號旁",17441473,,"菁業檳榔攤",5000,0880817,獨資,N,472999,未分類其他食品、飲料及菸草製品零售,,,,,,
"新北市新莊區瓊林南路１２之６號",92879960,,"英賀汽車修配廠",100000,0840110,獨資,Y,951199,其他汽車維修,,,,,,
"新北市新莊區瓊林南路１２９號",86097117,,"弘鋼實業有限公司",1000000,0800429,有限公司,Y,293111,渦輪機製造,464999,未分類其他機械器具批發,281099,其他發電、輸電及配電機械製造,,
"新北市新莊區瓊林南路１５７巷１０號",89793671,,"驊昇電子工業有限公司",6000000,0841229,有限公司,Y,269999,其他未分類電子零組件製造,,,,,,
"新北市新莊區瓊林南路１５９號２樓",04749675,,"大進橡膠有限公司",2000000,0650407,有限公司,Y,210200,工業用橡膠製品製造,,,,,,
"新北市新莊區瓊林南路１７３巷２１號",22947402,,"橋鼎塑膠有限公司",2000000,0770629,有限公司,Y,220999,未分類其他塑膠製品製造,251299,其他金屬模具製造,,,,
"新北市新莊區瓊林南路１７３巷２３號",84434677,,"南霖實業有限公司",1000000,0821126,有限公司,Y,339999,未分類其他工業製品製造,,,,,,
"新北市新莊區瓊林南路１７３巷２５號",97484109,,"寶威實業有限公司",1000000,0860806,有限公司,Y,254411,基本金屬表面處理,,,,,,
"新北市新莊區瓊林南路１７３巷３１號１樓",34273227,,"南敏塑膠有限公司",5000000,0680519,有限公司,Y,220999,未分類其他塑膠製品製造,,,,,,
"新北市新莊區瓊林南路１７３巷３５號",23367752,,"益勝精密工業有限公司",10000000,0780626,有限公司,Y,291211,金屬用車床、銑床、鑽床製造,,,,,,
"新北市新莊區瓊林南路１７７號",04768378,,"東力精機工業股份有限公司",8500000,0660922,股份有限公司,Y,292999,其他未分類專用機械設備製造,123099,其他服飾品製造,,,,
"新北市新莊區瓊林南路１７９號",35947798,,"豐呈精密工業股份有限公司",20000000,0671017,股份有限公司,N,293999,未分類其他通用機械設備製造,,,,,,
"新北市新莊區瓊林南路１８１號之１",97064438,,"京融實業有限公司",5000000,0850724,有限公司,Y,220212,塑膠袋製品製造,,,,,,
"新北市新莊區瓊林南路１８３號",22905992,,"台聯塑膠股份有限公司",18000000,0770526,股份有限公司,Y,220999,未分類其他塑膠製品製造,,,,,,
"新北市新莊區瓊林南路１８７巷１１號",36015392,,"橋鎂紙器工廠",100000,0690721,獨資,Y,159999,其他未分類紙製品製造,,,,,,
"新北市新莊區瓊林南路１８７巷１１號",90484060,,"尚奕精密有限公司",1000000,1100903,有限公司,N,292999,其他未分類專用機械設備製造,,,,,,
"新北市新莊區瓊林南路１８７巷２４號",84623537,,"竤祥企業有限公司",5000000,0821230,有限公司,Y,464999,未分類其他機械器具批發,292999,其他未分類專用機械設備製造,,,,
"新北市新莊區瓊林南路１８７巷２５號",84553286,,"尚誼機械廠有限公司",1000000,0820911,有限公司,Y,241212,鑄鐵件鑄造,241213,鑄鋼件鑄造,,,,
"新北市新莊區瓊林南路１８７巷２９號",35894687,,"迦晟股份有限公司",3000000,0670304,股份有限公司,Y,681112,不動產租賃,,,,,,
"新北市新莊區瓊林南路１８７巷３０號",86526834,,"冠理實業股份有限公司",6000000,0810110,股份有限公司,Y,220999,未分類其他塑膠製品製造,,,,,,
"新北市新莊區瓊林南路１８７巷３１號",31219798,,"青鴻實業有限公司",6000000,0620711,有限公司,N,220112,塑膠板、管材等製造,220111,塑膠皮、塑膠布製造,,,,
